Author 1,Author 2,Similarity
Giuseppe Conte,MoVimento 5 Stelle,0.7137120420899871
Fratelli d'Italia 🇮🇹,Giorgia Meloni,0.6438058972958003
Enrico Letta,Partito Democratico 🇮🇹 🇪🇺,0.6178735533284156
nicola fratoianni,Sinistra Italiana,0.55529552783496
PalermoToday,La Nazione,0.5185629788417314
CorriereRomagna,La Nazione,0.5133866880557658
Nicola Porro,La Verità,0.49775011480498166
Silvio Berlusconi,Forza Italia,0.4920890125680498
Fratelli d'Italia 🇮🇹,Secolo d'Italia,0.49165453907083534
Repubblica,Corriere della Sera,0.4859020273555177
